anio,dataset,variable_origen,variable_estandar,descripcion,unidad,comparable,nivel_comparabilidad,motivo,observaciones
2011,caracteristicas,equipamientobibliotecaequiporeceptorderadioamfm,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientobibliotecaimpresora,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientobibliotecareproductordecd,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientobibliotecareproductordedvd,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientobibliotecascanner,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientobibliotecaservidorparausoescolar,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientobibliotecasistemamultimediaocanon,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientobibliotecatelevisor,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientoestablecimientoequipodesonido,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientoestablecimientoequipoemisorderadioamfm,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientoestablecimientoequiporeceptorderadioamfm,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientoestablecimientoimpresora,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientoestablecimientoimpresora3d,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientoestablecimientopizarrasdigitales,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientoestablecimientoreproductordecd,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientoestablecimientoreproductordedvd,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientoestablecimientoscanner,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientoestablecimientoservidorparausoescolar,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientoestablecimientosistemamultimediaocanon,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientoestablecimientotelevisor,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,equipamientoestablecimientowebcam,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,espaciosconconexionenelareadeadministracion,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,espaciosconconexionenellaboratorio,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,espaciosconconexionenlabibliotecas,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,espaciosconconexionenlasaulas,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,espaciosconconexionenotroespaciodelestablecimiento,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,internettipodeconexionadsl,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,internettipodeconexioncablemodem,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,internettipodeconexionmovil,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,internettipodeconexionotrotipo,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,internettipodeconexionsatelital,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,internettipodeconexiontelefonica,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,internettipodeserviciogratuito,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,internettipodeserviciopago,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,laboratoriofuncionaesespacioexclusivosi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,sistemadegestionescolardesarrolladoporterceros,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,sistemadegestionescolarencargadoporelestablecimiento,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,sistemadegestionescolarplanilladecalculo,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,sistemadegestionescolarprovistoporelministerio,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,sistemadegestionescolarsi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,subvencionestataljardindeinfantessi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,subvencionestataljardinmaternalsi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,subvencionestatalprimariasi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,subvencionestatalsecundariasi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,caracteristicas,subvencionestatalsnusi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2011,derivada,repitentes/matricula_grados_comparables,proporcion_repitentes,Cociente exploratorio recalculado desde conteos comparables,proporción,sí con advertencia,Media,"Fórmula estable, pero no es tasa oficial y su interpretación atraviesa discontinuidades administrativas potenciales.",No se almacena en el parquet largo; se recalcula. Cautela especial en 2020–2022.
2011,derivada,salidos_sin_pase/matricula_inicial,proporcion_salidos_sin_pase,Cociente exploratorio recalculado desde conteos comparables,proporción,sí con advertencia,Media,"Fórmula estable, pero no es tasa oficial y su interpretación atraviesa discontinuidades administrativas potenciales.",No se almacena en el parquet largo; se recalcula. Cautela especial en 2020–2022.
2011,derivada,sobreedad/matricula_grados_comparables,proporcion_sobreedad,Cociente exploratorio recalculado desde conteos comparables,proporción,sí con advertencia,Media,"Fórmula estable, pero no es tasa oficial y su interpretación atraviesa discontinuidades administrativas potenciales.",No se almacena en el parquet largo; se recalcula. Cautela especial en 2020–2022.
2011,matricula,campo_1+campo_2+campo_3+campo_4+campo_5+campo_6+campo_7+campo_8+campo_9+campo_10+campo_11+campo_12+campo_1314,matricula_grados_comparables,Matrícula en años de estudio con repitencia y sobreedad comparables,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2011,matricula,lactantes+deambulantes+s2+s3+s4+s5+campo_1+campo_2+campo_3+campo_4+campo_5+campo_6+campo_7+campo_8+campo_9+campo_10+campo_11+campo_12+campo_1314+snu,matricula_total,Matrícula en categorías comunes a todos los años,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2011,matricula,r_1+r_2+r_3+r_4+r_5+r_6+r_7+r_8+r_9+r_10+r_11+r_12+r_1314,repitentes,Estudiantes repitentes en categorías comunes,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2011,matricula,s_1+s_2+s_3+s_4+s_5+s_6+s_7+s_8+s_9+s_10+s_11+s_12+s_1314,sobreedad,Estudiantes con sobreedad en categorías comunes,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2011,matricula,s_deambulantes,,Sobreedad en categorías de inicial,conteo,no,No comparable,Definición ambigua/inconsistente en el diccionario disponible.,No se usa sustantivamente.
2011,matricula,s_lactantes,,Sobreedad en categorías de inicial,conteo,no,No comparable,Definición ambigua/inconsistente en el diccionario disponible.,No se usa sustantivamente.
2011,matricula,s_s2,,Sobreedad en categorías de inicial,conteo,no,No comparable,Definición ambigua/inconsistente en el diccionario disponible.,No se usa sustantivamente.
2011,matricula,s_s3,,Sobreedad en categorías de inicial,conteo,no,No comparable,Definición ambigua/inconsistente en el diccionario disponible.,No se usa sustantivamente.
2011,matricula,s_s4,,Sobreedad en categorías de inicial,conteo,no,No comparable,Definición ambigua/inconsistente en el diccionario disponible.,No se usa sustantivamente.
2011,matricula,s_s5,,Sobreedad en categorías de inicial,conteo,no,No comparable,Definición ambigua/inconsistente en el diccionario disponible.,No se usa sustantivamente.
2011,trayectoria,inicial_1+inicial_2+inicial_3+inicial_4+inicial_5+inicial_6+inicial_7+inicial_8+inicial_9+inicial_10+inicial_11+inicial_12+inicial_1314,matricula_inicial,Matrícula inicial en categorías comunes,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2011,trayectoria,nopromo_1+nopromo_2+nopromo_3+nopromo_4+nopromo_5+nopromo_6+nopromo_7+nopromo_8+nopromo_9+nopromo_10+nopromo_11+nopromo_12+nopromo_1314,no_promovidos,No promovidos en categorías comunes,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2011,trayectoria,primaria_egresados,egresados_primaria,Egresados de primaria,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2011,trayectoria,promovidos_1+promovidos_2+promovidos_3+promovidos_4+promovidos_5+promovidos_6+promovidos_7+promovidos_8+promovidos_9+promovidos_10+promovidos_11+promovidos_12+promovidos_1314,promovidos,Promovidos en categorías comunes,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2011,trayectoria,scp_1+scp_2+scp_3+scp_4+scp_5+scp_6+scp_7+scp_8+scp_9+scp_10+scp_11+scp_12+scp_1314,salidos_con_pase,Salidos con pase en categorías comunes,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2011,trayectoria,secundaria_egresados,egresados_secundaria,Egresados de secundaria,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2011,trayectoria,ssp_1+ssp_2+ssp_3+ssp_4+ssp_5+ssp_6+ssp_7+ssp_8+ssp_9+ssp_10+ssp_11+ssp_12+ssp_1314,salidos_sin_pase,Salidos sin pase en categorías comunes,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2011,trayectoria,ultimo_1+ultimo_2+ultimo_3+ultimo_4+ultimo_5+ultimo_6+ultimo_7+ultimo_8+ultimo_9+ultimo_10+ultimo_11+ultimo_12+ultimo_1314,matricula_ultimo_dia,Matrícula al último día de clase en categorías comunes,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2012,caracteristicas,localizacion,localizaciones,Cantidad de localizaciones educativas,conteo,sí,Alta,Mismas columnas componentes y mismo grano en los 15 archivos; definición común en el diccionario oficial.,No incorporar la categoría _20 añadida desde 2023; conservar sector y ámbito.
2012,caracteristicas,bibliotecadisponedealmenosunasi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,bibliotecafuncionaesespacioexclusivosi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,cooperadoraconpersoneriajuridica,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,cooperadorano,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,cooperadorasinpersoneriajuridica,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,disponedesalaolaboratoriodeinformaticasi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,electricidadgeneradoreolico,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,electricidadgeneradorhidraulico,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,electricidadgrupoelectrogeno,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,electricidadotro,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,electricidadpanelfotovoltaicosolar,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,electricidadredpublica,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,electricidadsi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientobibliotecaequipamientobibliotecawebcam,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientobibliotecaequipoemisorderadioamfm,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientobibliotecaequiporeceptorderadioamfm,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientobibliotecaimpresora,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientobibliotecareproductordecd,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientobibliotecareproductordedvd,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientobibliotecascanner,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientobibliotecaservidorparausoescolar,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientobibliotecasistemamultimediaocanon,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientobibliotecatelevisor,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientoestablecimientoequipodesonido,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientoestablecimientoequipoemisorderadioamfm,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientoestablecimientoequiporeceptorderadioamfm,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientoestablecimientoimpresora,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientoestablecimientoimpresora3d,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientoestablecimientopizarrasdigitales,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientoestablecimientoreproductordecd,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientoestablecimientoreproductordedvd,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientoestablecimientoscanner,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientoestablecimientoservidorparausoescolar,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientoestablecimientosistemamultimediaocanon,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientoestablecimientotelevisor,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,equipamientoestablecimientowebcam,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,espaciosconconexionenelareadeadministracion,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,espaciosconconexionenellaboratorio,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,espaciosconconexionenlabibliotecas,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,espaciosconconexionenlasaulas,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,espaciosconconexionenotroespaciodelestablecimiento,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,internettipodeconexionadsl,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,internettipodeconexioncablemodem,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,internettipodeconexionmovil,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,internettipodeconexionotrotipo,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,internettipodeconexionsatelital,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,internettipodeconexiontelefonica,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,internettipodeserviciogratuito,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,internettipodeserviciopago,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,laboratoriofuncionaesespacioexclusivosi,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,sistemadegestionescolardesarrolladoporterceros,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,sistemadegestionescolarencargadoporelestablecimiento,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
2012,caracteristicas,sistemadegestionescolarplanilladecalculo,,Característica de localización,por verificar,no,No comparable,Unidad agregada ambigua y cambios de esquema/nombre.,Excluida hasta contar con definición anual inequívoca.
