variable,dataset,tipo,descripcion,unidad,aditiva_o_tasa,nivel_educativo,sector,ambito,posible_dimension_proyecto,observaciones_metodologicas
r_5,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
r_6,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
r_7,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
r_8,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
r_9,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
r_10,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
r_11,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
r_12,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
r_1314,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
r_20,matricula,Int64,Estudiantes repitentes en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s_lactantes,matricula,Int64,definicion por verificar,definicion por verificar,definicion por verificar,no aplica,desagregada por sector,desagregada por ambito,por verificar,No usar sustantivamente hasta confirmar la definicion oficial.
s_deambulantes,matricula,Int64,definicion por verificar,definicion por verificar,definicion por verificar,no aplica,desagregada por sector,desagregada por ambito,por verificar,No usar sustantivamente hasta confirmar la definicion oficial.
s_s2,matricula,Int64,definicion por verificar,definicion por verificar,definicion por verificar,no aplica,desagregada por sector,desagregada por ambito,por verificar,No usar sustantivamente hasta confirmar la definicion oficial.
s_s3,matricula,Int64,definicion por verificar,definicion por verificar,definicion por verificar,no aplica,desagregada por sector,desagregada por ambito,por verificar,No usar sustantivamente hasta confirmar la definicion oficial.
s_s4,matricula,Int64,definicion por verificar,definicion por verificar,definicion por verificar,no aplica,desagregada por sector,desagregada por ambito,por verificar,No usar sustantivamente hasta confirmar la definicion oficial.
s_s5,matricula,Int64,definicion por verificar,definicion por verificar,definicion por verificar,no aplica,desagregada por sector,desagregada por ambito,por verificar,No usar sustantivamente hasta confirmar la definicion oficial.
s_1,matricula,Int64,Estudiantes con sobreedad en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Trayectoria; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s_2,matricula,Int64,Estudiantes con sobreedad en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Trayectoria; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s_3,matricula,Int64,Estudiantes con sobreedad en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Trayectoria; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s_4,matricula,Int64,Estudiantes con sobreedad en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Trayectoria; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s_5,matricula,Int64,Estudiantes con sobreedad en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Trayectoria; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s_6,matricula,Int64,Estudiantes con sobreedad en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Trayectoria; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s_7,matricula,Int64,Estudiantes con sobreedad en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Trayectoria; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s_8,matricula,Int64,Estudiantes con sobreedad en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Trayectoria; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s_9,matricula,Int64,Estudiantes con sobreedad en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Trayectoria; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s_10,matricula,Int64,Estudiantes con sobreedad en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Trayectoria; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s_11,matricula,Int64,Estudiantes con sobreedad en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Trayectoria; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s_12,matricula,Int64,Estudiantes con sobreedad en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Trayectoria; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
s_1314,matricula,Int64,Estudiantes con sobreedad en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Trayectoria; Equidad,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
seclactantes,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
secdeambu,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
secs2,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
secs3,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
secs4,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
secs5,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec1,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec2,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec3,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec4,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec5,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec6,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec7,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec8,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec9,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec10,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec11,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec12,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec1314,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
sec20,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
multi_ini,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
multi_pri,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
multi_sec,matricula,Int64,Secciones en la categoria indicada,secciones,aditiva,no aplica,desagregada por sector,desagregada por ambito,Acceso,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
multinivel,matricula,Int64,definicion por verificar,definicion por verificar,definicion por verificar,no aplica,desagregada por sector,desagregada por ambito,por verificar,No usar sustantivamente hasta confirmar la definicion oficial.
provincia_nombre_fuente,matricula,string,Provincia informada por la fuente,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
departamento_nombre_fuente,matricula,string,Departamento informado por la fuente,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
provincia_clave_fuente,matricula,object,Nombre normalizado para correspondencia,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
departamento_clave_fuente,matricula,object,Nombre normalizado para correspondencia,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
provincia_id,matricula,string,Identificador GeoRef de provincia,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
provincia_nombre,matricula,string,Nombre oficial GeoRef de provincia,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
departamento_id,matricula,string,Identificador nacional GeoRef de departamento o equivalente,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
departamento_nombre,matricula,string,Nombre GeoRef de departamento o equivalente,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
clave_territorial,matricula,string,Clave interna provincia-departamento,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
match_metodo,matricula,string,Metodo documentado de correspondencia territorial,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
dataset,trayectoria,object,Nombre interno de la base,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
anio,trayectoria,int64,Ano del relevamiento,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
url_origen,trayectoria,object,URL de origen,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
fecha_descarga,trayectoria,object,Fecha de descarga,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
sector,trayectoria,string,Sector de gestion,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
ambito,trayectoria,string,Ambito urbano o rural,no aplica,no aplica,no aplica,desagregada por sector,desagregada por ambito,Trazabilidad,No usar sustantivamente hasta confirmar la definicion oficial.
inicial_1,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
inicial_2,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
inicial_3,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
inicial_4,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
inicial_5,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
inicial_6,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
inicial_7,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
inicial_8,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
inicial_9,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
inicial_10,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
inicial_11,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
inicial_12,trayectoria,Int64,Matricula inicial en el ano/categoria indicada,estudiantes,aditiva,no aplica,desagregada por sector,desagregada por ambito,Permanencia; Trayectoria,Definicion basada en el diccionario oficial RA 2025; conservar el grano sector-ambito.
