anio,provincia,nombre_ra,nombre_georef,departamento_id,tipo_equivalencia,estado,evidencia,observaciones
2011,San Luis,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,74063,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2011,Santiago del Estero,JUAN F IBARRA,Juan Felipe Ibarra,86098,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2011,Tucumán,JUAN B ALBERDI,Juan Bautista Alberdi,90042,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial B,Heredado de auditoría 2025
2012,Buenos Aires,CORONEL DE MARINA L ROSALES,Coronel de Marina Leonardo Rosales,06182,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial L,Heredado de auditoría 2025
2012,Chaco,1Â§ DE MAYO,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,I,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,II,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,III,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,IV,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,IX,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,V,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,VI,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,VII,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,VIII,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,X,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,XI,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,XII,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,XIII,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,XIV,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,XIX,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,XV,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,XVI,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,XVII,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,XVIII,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,XX,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Ciudad de Buenos Aires,XXI,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2012,Jujuy,DOCTOR MANUEL BELGRANO,Dr. Manuel Belgrano,38021,abreviatura,confirmado,RA escribe Doctor y GeoRef abrevia el mismo tratamiento como Dr.; el resto del nombre y la provincia coinciden exactamente,Heredado de auditoría 2025
2012,La Rioja,CORONEL FELIPE VARELA,General Felipe Varela,46028,denominación administrativa,pendiente,No se halló equivalencia oficial explícita para el cambio Coronel-General,Heredado de auditoría 2025
2012,La Rioja,GENERAL ANGEL V PEÑALOZA,Ángel Vicente Peñaloza,46056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2012,La Rioja,GENERAL JUAN F QUIROGA,General Juan Facundo Quiroga,46070,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2012,La Rioja,GENERAL OCAMPO,General Ortiz de Ocampo,46084,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la omisión Ortiz de,Heredado de auditoría 2025
2012,Misiones,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,54077,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2012,San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,Juan Martín de Pueyrredón,74056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2012,San Luis,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,74063,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2012,Santiago del Estero,JUAN F IBARRA,Juan Felipe Ibarra,86098,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2012,Tucumán,JUAN B ALBERDI,Juan Bautista Alberdi,90042,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial B,Heredado de auditoría 2025
2013,Buenos Aires,CORONEL DE MARINA L ROSALES,Coronel de Marina Leonardo Rosales,06182,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial L,Heredado de auditoría 2025
2013,Chaco,1Â§ DE MAYO,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2013,Jujuy,DOCTOR MANUEL BELGRANO,Dr. Manuel Belgrano,38021,abreviatura,confirmado,RA escribe Doctor y GeoRef abrevia el mismo tratamiento como Dr.; el resto del nombre y la provincia coinciden exactamente,Heredado de auditoría 2025
2013,La Rioja,CORONEL FELIPE VARELA,General Felipe Varela,46028,denominación administrativa,pendiente,No se halló equivalencia oficial explícita para el cambio Coronel-General,Heredado de auditoría 2025
2013,La Rioja,GENERAL ANGEL V PEÑALOZA,Ángel Vicente Peñaloza,46056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2013,La Rioja,GENERAL JUAN F QUIROGA,General Juan Facundo Quiroga,46070,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2013,La Rioja,GENERAL OCAMPO,General Ortiz de Ocampo,46084,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la omisión Ortiz de,Heredado de auditoría 2025
2013,Misiones,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,54077,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2013,San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,Juan Martín de Pueyrredón,74056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2013,San Luis,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,74063,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2013,Santiago del Estero,JUAN F IBARRA,Juan Felipe Ibarra,86098,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2013,Tucumán,JUAN B ALBERDI,Juan Bautista Alberdi,90042,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial B,Heredado de auditoría 2025
2014,Buenos Aires,CORONEL DE MARINA L ROSALES,Coronel de Marina Leonardo Rosales,06182,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial L,Heredado de auditoría 2025
2014,Chaco,1Â§ DE MAYO,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2014,Jujuy,DOCTOR MANUEL BELGRANO,Dr. Manuel Belgrano,38021,abreviatura,confirmado,RA escribe Doctor y GeoRef abrevia el mismo tratamiento como Dr.; el resto del nombre y la provincia coinciden exactamente,Heredado de auditoría 2025
2014,La Rioja,CORONEL FELIPE VARELA,General Felipe Varela,46028,denominación administrativa,pendiente,No se halló equivalencia oficial explícita para el cambio Coronel-General,Heredado de auditoría 2025
2014,La Rioja,GENERAL ANGEL V PEÑALOZA,Ángel Vicente Peñaloza,46056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2014,La Rioja,GENERAL JUAN F QUIROGA,General Juan Facundo Quiroga,46070,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2014,La Rioja,GENERAL OCAMPO,General Ortiz de Ocampo,46084,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la omisión Ortiz de,Heredado de auditoría 2025
2014,Misiones,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,54077,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2014,San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,Juan Martín de Pueyrredón,74056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2014,San Luis,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,74063,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2014,Santiago del Estero,JUAN F IBARRA,Juan Felipe Ibarra,86098,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2014,Tucumán,JUAN B ALBERDI,Juan Bautista Alberdi,90042,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial B,Heredado de auditoría 2025
2015,Buenos Aires,CORONEL DE MARINA L ROSALES,Coronel de Marina Leonardo Rosales,06182,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial L,Heredado de auditoría 2025
2015,Jujuy,DOCTOR MANUEL BELGRANO,Dr. Manuel Belgrano,38021,abreviatura,confirmado,RA escribe Doctor y GeoRef abrevia el mismo tratamiento como Dr.; el resto del nombre y la provincia coinciden exactamente,Heredado de auditoría 2025
2015,La Rioja,CORONEL FELIPE VARELA,General Felipe Varela,46028,denominación administrativa,pendiente,No se halló equivalencia oficial explícita para el cambio Coronel-General,Heredado de auditoría 2025
2015,La Rioja,GENERAL ANGEL V PEÑALOZA,Ángel Vicente Peñaloza,46056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2015,La Rioja,GENERAL JUAN F QUIROGA,General Juan Facundo Quiroga,46070,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2015,La Rioja,GENERAL OCAMPO,General Ortiz de Ocampo,46084,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la omisión Ortiz de,Heredado de auditoría 2025
2015,Misiones,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,54077,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2015,San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,Juan Martín de Pueyrredón,74056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2015,San Luis,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,74063,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2015,Santiago del Estero,JUAN F IBARRA,Juan Felipe Ibarra,86098,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2015,Tucumán,JUAN B ALBERDI,Juan Bautista Alberdi,90042,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial B,Heredado de auditoría 2025
2016,Buenos Aires,CORONEL DE MARINA L ROSALES,Coronel de Marina Leonardo Rosales,06182,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial L,Heredado de auditoría 2025
2016,Jujuy,DOCTOR MANUEL BELGRANO,Dr. Manuel Belgrano,38021,abreviatura,confirmado,RA escribe Doctor y GeoRef abrevia el mismo tratamiento como Dr.; el resto del nombre y la provincia coinciden exactamente,Heredado de auditoría 2025
2016,La Rioja,CORONEL FELIPE VARELA,General Felipe Varela,46028,denominación administrativa,pendiente,No se halló equivalencia oficial explícita para el cambio Coronel-General,Heredado de auditoría 2025
2016,La Rioja,GENERAL ANGEL V PEÑALOZA,Ángel Vicente Peñaloza,46056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2016,La Rioja,GENERAL JUAN F QUIROGA,General Juan Facundo Quiroga,46070,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2016,La Rioja,GENERAL OCAMPO,General Ortiz de Ocampo,46084,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la omisión Ortiz de,Heredado de auditoría 2025
2016,Misiones,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,54077,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2016,San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,Juan Martín de Pueyrredón,74056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2016,San Luis,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,74063,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2016,Santiago del Estero,JUAN F IBARRA,Juan Felipe Ibarra,86098,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2016,Tucumán,JUAN B ALBERDI,Juan Bautista Alberdi,90042,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial B,Heredado de auditoría 2025
2017,Buenos Aires,CORONEL DE MARINA L ROSALES,Coronel de Marina Leonardo Rosales,06182,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial L,Heredado de auditoría 2025
2017,Chaco,1Â§ DE MAYO,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2017,Jujuy,DOCTOR MANUEL BELGRANO,Dr. Manuel Belgrano,38021,abreviatura,confirmado,RA escribe Doctor y GeoRef abrevia el mismo tratamiento como Dr.; el resto del nombre y la provincia coinciden exactamente,Heredado de auditoría 2025
2017,La Rioja,CORONEL FELIPE VARELA,General Felipe Varela,46028,denominación administrativa,pendiente,No se halló equivalencia oficial explícita para el cambio Coronel-General,Heredado de auditoría 2025
2017,La Rioja,GENERAL ANGEL V PEÑALOZA,Ángel Vicente Peñaloza,46056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2017,La Rioja,GENERAL JUAN F QUIROGA,General Juan Facundo Quiroga,46070,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2017,La Rioja,GENERAL OCAMPO,General Ortiz de Ocampo,46084,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la omisión Ortiz de,Heredado de auditoría 2025
2017,Misiones,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,54077,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2017,San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,Juan Martín de Pueyrredón,74056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2017,San Luis,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,74063,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2017,Santiago del Estero,JUAN F IBARRA,Juan Felipe Ibarra,86098,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2017,Tucumán,JUAN B ALBERDI,Juan Bautista Alberdi,90042,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial B,Heredado de auditoría 2025
2018,Buenos Aires,CORONEL DE MARINA L ROSALES,Coronel de Marina Leonardo Rosales,06182,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial L,Heredado de auditoría 2025
2018,Jujuy,DOCTOR MANUEL BELGRANO,Dr. Manuel Belgrano,38021,abreviatura,confirmado,RA escribe Doctor y GeoRef abrevia el mismo tratamiento como Dr.; el resto del nombre y la provincia coinciden exactamente,Heredado de auditoría 2025
2018,La Rioja,CORONEL FELIPE VARELA,General Felipe Varela,46028,denominación administrativa,pendiente,No se halló equivalencia oficial explícita para el cambio Coronel-General,Heredado de auditoría 2025
2018,La Rioja,GENERAL ANGEL V PEÑALOZA,Ángel Vicente Peñaloza,46056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2018,La Rioja,GENERAL JUAN F QUIROGA,General Juan Facundo Quiroga,46070,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2018,La Rioja,GENERAL OCAMPO,General Ortiz de Ocampo,46084,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la omisión Ortiz de,Heredado de auditoría 2025
2018,Misiones,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,54077,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2018,San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,Juan Martín de Pueyrredón,74056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2018,San Luis,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,74063,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2018,Santiago del Estero,JUAN F IBARRA,Juan Felipe Ibarra,86098,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2018,Tucumán,JUAN B ALBERDI,Juan Bautista Alberdi,90042,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial B,Heredado de auditoría 2025
2019,Buenos Aires,CORONEL DE MARINA L ROSALES,Coronel de Marina Leonardo Rosales,06182,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial L,Heredado de auditoría 2025
2019,Chaco,1Â§ DE MAYO,,,por verificar,pendiente,Sin equivalencia oficial documentada; no se asigna ID.,Diferencia histórica o unidad territorial no equivalente a GeoRef actual.
2019,Jujuy,DOCTOR MANUEL BELGRANO,Dr. Manuel Belgrano,38021,abreviatura,confirmado,RA escribe Doctor y GeoRef abrevia el mismo tratamiento como Dr.; el resto del nombre y la provincia coinciden exactamente,Heredado de auditoría 2025
2019,La Rioja,CORONEL FELIPE VARELA,General Felipe Varela,46028,denominación administrativa,pendiente,No se halló equivalencia oficial explícita para el cambio Coronel-General,Heredado de auditoría 2025
2019,La Rioja,GENERAL ANGEL V PEÑALOZA,Ángel Vicente Peñaloza,46056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2019,La Rioja,GENERAL JUAN F QUIROGA,General Juan Facundo Quiroga,46070,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2019,La Rioja,GENERAL OCAMPO,General Ortiz de Ocampo,46084,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la omisión Ortiz de,Heredado de auditoría 2025
2019,Misiones,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,54077,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2019,San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,Juan Martín de Pueyrredón,74056,denominación administrativa,pendiente,No se halló equivalencia oficial explícita que confirme la variante completa,Heredado de auditoría 2025
2019,San Luis,LIBERTADOR GRL SAN MARTIN,Libertador General San Martín,74063,abreviatura,confirmado,RA abrevia General como GRL; los demás términos y la provincia coinciden exactamente con GeoRef,Heredado de auditoría 2025
2019,Santiago del Estero,JUAN F IBARRA,Juan Felipe Ibarra,86098,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial F,Heredado de auditoría 2025
2019,Tucumán,JUAN B ALBERDI,Juan Bautista Alberdi,90042,abreviatura,pendiente,No se halló equivalencia oficial explícita para expandir la inicial B,Heredado de auditoría 2025
