variable,dimension,descripcion,fuente,anio,unidad,universo,tipo,comparabilidad,direccion_interpretativa,cobertura,advertencia
anio_poblacion,Territorio,anio poblacion,GeoRef / Censo / Padrón,2022,"conteo, km2 o densidad",departamento o equivalente,estructura,segun fuente,descriptivo,529,No usar para score.
anio_padron,Territorio,anio padron,GeoRef / Censo / Padrón,2022,"conteo, km2 o densidad",departamento o equivalente,estructura,segun fuente,descriptivo,529,No usar para score.
localizaciones_por_1000_poblacion_escolar_2022,Oferta,localizaciones por 1000 poblacion escolar 2022,Padrón oficial 2022,2022,"conteo, cociente o proporcion",departamento o equivalente,estructura,segun fuente,mayor_no_implica_mejor,520,CUE y CUE-anexo no son intercambiables; no mide cupos ni distancia.
localizaciones_por_100_km2_2022,Oferta,localizaciones por 100 km2 2022,Padrón oficial 2022,2022,"conteo, cociente o proporcion",departamento o equivalente,estructura,segun fuente,mayor_no_implica_mejor,522,CUE y CUE-anexo no son intercambiables; no mide cupos ni distancia.
porcentaje_hogares_internet_2022,Contexto socioeconomico,porcentaje hogares internet 2022,Censo 2022,2022,porcentaje,departamento o equivalente,estructura,segun fuente,descriptivo,525,Condición estructural; no es causa demostrada.
porcentaje_hogares_computadora_2022,Contexto socioeconomico,porcentaje hogares computadora 2022,Censo 2022,2022,porcentaje,departamento o equivalente,estructura,segun fuente,descriptivo,525,Condición estructural; no es causa demostrada.
porcentaje_hogares_agua_red_publica_2022,Contexto socioeconomico,porcentaje hogares agua red publica 2022,Censo 2022,2022,porcentaje,departamento o equivalente,estructura,segun fuente,descriptivo,524,Condición estructural; no es causa demostrada.
porcentaje_hogares_cloaca_2022,Contexto socioeconomico,porcentaje hogares cloaca 2022,Censo 2022,2022,porcentaje,departamento o equivalente,estructura,segun fuente,descriptivo,524,Condición estructural; no es causa demostrada.
porcentaje_viviendas_rancho_casilla_2022,Contexto socioeconomico,porcentaje viviendas rancho casilla 2022,Censo 2022,2022,porcentaje,departamento o equivalente,estructura,segun fuente,descriptivo,521,Condición estructural; no es causa demostrada.
porcentaje_asistencia_4_5_2022,Acceso / asistencia,porcentaje asistencia 4 5 2022,Censo 2022 y RA 2022,2022,porcentaje o cociente,departamento o equivalente,indicador,segun fuente,mayor_generalmente_favorable,527,El cociente matrícula/población no es tasa oficial de escolarización.
porcentaje_asistencia_6_11_2022,Acceso / asistencia,porcentaje asistencia 6 11 2022,Censo 2022 y RA 2022,2022,porcentaje o cociente,departamento o equivalente,indicador,segun fuente,mayor_generalmente_favorable,526,El cociente matrícula/población no es tasa oficial de escolarización.
porcentaje_asistencia_12_14_2022,Acceso / asistencia,porcentaje asistencia 12 14 2022,Censo 2022 y RA 2022,2022,porcentaje o cociente,departamento o equivalente,indicador,segun fuente,mayor_generalmente_favorable,527,El cociente matrícula/población no es tasa oficial de escolarización.
porcentaje_asistencia_15_17_2022,Acceso / asistencia,porcentaje asistencia 15 17 2022,Censo 2022 y RA 2022,2022,porcentaje o cociente,departamento o equivalente,indicador,segun fuente,mayor_generalmente_favorable,527,El cociente matrícula/población no es tasa oficial de escolarización.
cociente_matricula_poblacion_12_14_2022,Acceso / asistencia,cociente matricula poblacion 12 14 2022,Censo 2022 y RA 2022,2022,porcentaje o cociente,departamento o equivalente,indicador,segun fuente,no_interpretable_sin_contexto,505,El cociente matrícula/población no es tasa oficial de escolarización.
cociente_matricula_poblacion_15_17_2022,Acceso / asistencia,cociente matricula poblacion 15 17 2022,Censo 2022 y RA 2022,2022,porcentaje o cociente,departamento o equivalente,indicador,segun fuente,no_interpretable_sin_contexto,504,El cociente matrícula/población no es tasa oficial de escolarización.
cociente_matricula_poblacion_4_5_2022,Acceso / asistencia,cociente matricula poblacion 4 5 2022,Censo 2022 y RA 2022,2022,porcentaje o cociente,departamento o equivalente,indicador,segun fuente,no_interpretable_sin_contexto,505,El cociente matrícula/población no es tasa oficial de escolarización.
cociente_matricula_poblacion_6_11_2022,Acceso / asistencia,cociente matricula poblacion 6 11 2022,Censo 2022 y RA 2022,2022,porcentaje o cociente,departamento o equivalente,indicador,segun fuente,no_interpretable_sin_contexto,505,El cociente matrícula/población no es tasa oficial de escolarización.
matricula_total_2025,Territorio,matricula total 2025,Relevamiento Anual,2025,conteo o proporcion,departamento o equivalente,estructura,segun fuente,descriptivo,506,No usar para score.
proporcion_matricula_rural_2025,Territorio,proporcion matricula rural 2025,Relevamiento Anual,2025,conteo o proporcion,departamento o equivalente,estructura,segun fuente,descriptivo,435,No usar para score.
proporcion_matricula_estatal_2025,Territorio,proporcion matricula estatal 2025,Relevamiento Anual,2025,conteo o proporcion,departamento o equivalente,estructura,segun fuente,descriptivo,506,No usar para score.
repeticion_2025,Trayectoria,repeticion 2025,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,506,Cocientes internos documentados; no son tasas causales.
sobreedad_2025,Trayectoria,sobreedad 2025,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,506,Cocientes internos documentados; no son tasas causales.
promocion_2025,Trayectoria,promocion 2025,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_favorable,506,Cocientes internos documentados; no son tasas causales.
no_promocion_2025,Trayectoria,no promocion 2025,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,506,Cocientes internos documentados; no son tasas causales.
salidos_sin_pase_2025,Trayectoria,salidos sin pase 2025,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,506,Cocientes internos documentados; no son tasas causales.
proporcion_repitentes_mediana_historica,Trayectoria,proporcion repitentes mediana historica,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,506,Cocientes internos documentados; no son tasas causales.
proporcion_sobreedad_mediana_historica,Trayectoria,proporcion sobreedad mediana historica,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,506,Cocientes internos documentados; no son tasas causales.
proporcion_salidos_sin_pase_mediana_historica,Trayectoria,proporcion salidos sin pase mediana historica,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,506,Cocientes internos documentados; no son tasas causales.
proporcion_repitentes_clasificacion_historica,Trayectoria,proporcion repitentes clasificacion historica,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,506,Cocientes internos documentados; no son tasas causales.
proporcion_salidos_sin_pase_clasificacion_historica,Trayectoria,proporcion salidos sin pase clasificacion historica,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,506,Cocientes internos documentados; no son tasas causales.
proporcion_sobreedad_clasificacion_historica,Trayectoria,proporcion sobreedad clasificacion historica,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,506,Cocientes internos documentados; no son tasas causales.
proporcion_repitentes_n_anios_historicos,Calidad del dato,proporcion repitentes n anios historicos,Construccion interna,varios,categoria,departamento o equivalente,metadata,segun fuente,descriptivo,506,No usar para score.
proporcion_salidos_sin_pase_n_anios_historicos,Calidad del dato,proporcion salidos sin pase n anios historicos,Construccion interna,varios,categoria,departamento o equivalente,metadata,segun fuente,descriptivo,506,No usar para score.
proporcion_sobreedad_n_anios_historicos,Calidad del dato,proporcion sobreedad n anios historicos,Construccion interna,varios,categoria,departamento o equivalente,metadata,segun fuente,descriptivo,506,No usar para score.
proporcion_repitentes_tendencia_spearman_historica,Trayectoria,proporcion repitentes tendencia spearman historica,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,504,Cocientes internos documentados; no son tasas causales.
proporcion_salidos_sin_pase_tendencia_spearman_historica,Trayectoria,proporcion salidos sin pase tendencia spearman historica,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,504,Cocientes internos documentados; no son tasas causales.
proporcion_sobreedad_tendencia_spearman_historica,Trayectoria,proporcion sobreedad tendencia spearman historica,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,504,Cocientes internos documentados; no son tasas causales.
proporcion_repitentes_cambio_mediana_historica,Trayectoria,proporcion repitentes cambio mediana historica,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,501,Cocientes internos documentados; no son tasas causales.
proporcion_salidos_sin_pase_cambio_mediana_historica,Trayectoria,proporcion salidos sin pase cambio mediana historica,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,501,Cocientes internos documentados; no son tasas causales.
proporcion_sobreedad_cambio_mediana_historica,Trayectoria,proporcion sobreedad cambio mediana historica,Relevamiento Anual,2011-2025,proporcion o categoria,departamento o equivalente,resultado,segun fuente,mayor_generalmente_desfavorable,501,Cocientes internos documentados; no son tasas causales.
lengua_avanzado_2024,Aprendizaje,lengua avanzado 2024,Aprender Secundaria 2024,2024,porcentaje o categoria,departamento o equivalente,resultado,segun fuente,no_interpretable_sin_contexto,480,Solo con distribución completa; censal no equivale a participación completa.
lengua_basico_2024,Aprendizaje,lengua basico 2024,Aprender Secundaria 2024,2024,porcentaje o categoria,departamento o equivalente,resultado,segun fuente,no_interpretable_sin_contexto,480,Solo con distribución completa; censal no equivale a participación completa.
lengua_por_debajo_del_basico_2024,Aprendizaje,lengua por debajo del basico 2024,Aprender Secundaria 2024,2024,porcentaje o categoria,departamento o equivalente,resultado,segun fuente,no_interpretable_sin_contexto,480,Solo con distribución completa; censal no equivale a participación completa.
lengua_satisfactorio_2024,Aprendizaje,lengua satisfactorio 2024,Aprender Secundaria 2024,2024,porcentaje o categoria,departamento o equivalente,resultado,segun fuente,no_interpretable_sin_contexto,480,Solo con distribución completa; censal no equivale a participación completa.
aprendizaje_lengua_cobertura,Aprendizaje,aprendizaje lengua cobertura,Aprender Secundaria 2024,2024,porcentaje o categoria,departamento o equivalente,resultado,segun fuente,no_interpretable_sin_contexto,499,Solo con distribución completa; censal no equivale a participación completa.
lengua_satisfactorio_o_avanzado_2024,Aprendizaje,lengua satisfactorio o avanzado 2024,Aprender Secundaria 2024,2024,porcentaje o categoria,departamento o equivalente,resultado,segun fuente,no_interpretable_sin_contexto,480,Solo con distribución completa; censal no equivale a participación completa.
matematica_avanzado_2024,Aprendizaje,matematica avanzado 2024,Aprender Secundaria 2024,2024,porcentaje o categoria,departamento o equivalente,resultado,segun fuente,no_interpretable_sin_contexto,145,Solo con distribución completa; censal no equivale a participación completa.
matematica_basico_2024,Aprendizaje,matematica basico 2024,Aprender Secundaria 2024,2024,porcentaje o categoria,departamento o equivalente,resultado,segun fuente,no_interpretable_sin_contexto,145,Solo con distribución completa; censal no equivale a participación completa.
matematica_por_debajo_del_basico_2024,Aprendizaje,matematica por debajo del basico 2024,Aprender Secundaria 2024,2024,porcentaje o categoria,departamento o equivalente,resultado,segun fuente,no_interpretable_sin_contexto,145,Solo con distribución completa; censal no equivale a participación completa.
matematica_satisfactorio_2024,Aprendizaje,matematica satisfactorio 2024,Aprender Secundaria 2024,2024,porcentaje o categoria,departamento o equivalente,resultado,segun fuente,no_interpretable_sin_contexto,145,Solo con distribución completa; censal no equivale a participación completa.
aprendizaje_matematica_cobertura,Aprendizaje,aprendizaje matematica cobertura,Aprender Secundaria 2024,2024,porcentaje o categoria,departamento o equivalente,resultado,segun fuente,no_interpretable_sin_contexto,499,Solo con distribución completa; censal no equivale a participación completa.
matematica_satisfactorio_o_avanzado_2024,Aprendizaje,matematica satisfactorio o avanzado 2024,Aprender Secundaria 2024,2024,porcentaje o categoria,departamento o equivalente,resultado,segun fuente,no_interpretable_sin_contexto,145,Solo con distribución completa; censal no equivale a participación completa.
porcentaje_asistencia_15_17_2022__mediana_provincial,Acceso / asistencia,porcentaje asistencia 15 17 2022  mediana provincial,Derivación del perfil,2022,porcentaje o cociente,departamento o equivalente,comparacion descriptiva,segun fuente,mayor_generalmente_favorable,524,No es ranking ordinal; mediana provincial exige n>=4.
porcentaje_asistencia_15_17_2022__diferencia_mediana_provincial,Acceso / asistencia,porcentaje asistencia 15 17 2022  diferencia mediana provincial,Derivación del perfil,2022,porcentaje o cociente,departamento o equivalente,comparacion descriptiva,segun fuente,mayor_generalmente_favorable,524,No es ranking ordinal; mediana provincial exige n>=4.
porcentaje_asistencia_15_17_2022__cuartil_provincial,Acceso / asistencia,porcentaje asistencia 15 17 2022  cuartil provincial,Derivación del perfil,2022,porcentaje o cociente,departamento o equivalente,comparacion descriptiva,segun fuente,mayor_generalmente_favorable,524,No es ranking ordinal; mediana provincial exige n>=4.
porcentaje_asistencia_15_17_2022__mediana_nacional,Acceso / asistencia,porcentaje asistencia 15 17 2022  mediana nacional,Derivación del perfil,2022,porcentaje o cociente,departamento o equivalente,comparacion descriptiva,segun fuente,mayor_generalmente_favorable,529,No es ranking ordinal; mediana provincial exige n>=4.
porcentaje_asistencia_15_17_2022__respecto_mediana_nacional,Acceso / asistencia,porcentaje asistencia 15 17 2022  respecto mediana nacional,Derivación del perfil,2022,porcentaje o cociente,departamento o equivalente,comparacion descriptiva,segun fuente,mayor_generalmente_favorable,527,No es ranking ordinal; mediana provincial exige n>=4.
sobreedad_2025__mediana_provincial,Calidad del dato,sobreedad 2025  mediana provincial,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,524,No es ranking ordinal; mediana provincial exige n>=4.
sobreedad_2025__diferencia_mediana_provincial,Calidad del dato,sobreedad 2025  diferencia mediana provincial,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,503,No es ranking ordinal; mediana provincial exige n>=4.
sobreedad_2025__cuartil_provincial,Calidad del dato,sobreedad 2025  cuartil provincial,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,503,No es ranking ordinal; mediana provincial exige n>=4.
sobreedad_2025__mediana_nacional,Calidad del dato,sobreedad 2025  mediana nacional,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,529,No es ranking ordinal; mediana provincial exige n>=4.
sobreedad_2025__respecto_mediana_nacional,Calidad del dato,sobreedad 2025  respecto mediana nacional,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,506,No es ranking ordinal; mediana provincial exige n>=4.
repeticion_2025__mediana_provincial,Calidad del dato,repeticion 2025  mediana provincial,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,524,No es ranking ordinal; mediana provincial exige n>=4.
repeticion_2025__diferencia_mediana_provincial,Calidad del dato,repeticion 2025  diferencia mediana provincial,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,503,No es ranking ordinal; mediana provincial exige n>=4.
repeticion_2025__cuartil_provincial,Calidad del dato,repeticion 2025  cuartil provincial,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,503,No es ranking ordinal; mediana provincial exige n>=4.
repeticion_2025__mediana_nacional,Calidad del dato,repeticion 2025  mediana nacional,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,529,No es ranking ordinal; mediana provincial exige n>=4.
repeticion_2025__respecto_mediana_nacional,Calidad del dato,repeticion 2025  respecto mediana nacional,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,506,No es ranking ordinal; mediana provincial exige n>=4.
salidos_sin_pase_2025__mediana_provincial,Calidad del dato,salidos sin pase 2025  mediana provincial,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,524,No es ranking ordinal; mediana provincial exige n>=4.
salidos_sin_pase_2025__diferencia_mediana_provincial,Calidad del dato,salidos sin pase 2025  diferencia mediana provincial,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,503,No es ranking ordinal; mediana provincial exige n>=4.
salidos_sin_pase_2025__cuartil_provincial,Calidad del dato,salidos sin pase 2025  cuartil provincial,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,503,No es ranking ordinal; mediana provincial exige n>=4.
salidos_sin_pase_2025__mediana_nacional,Calidad del dato,salidos sin pase 2025  mediana nacional,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,529,No es ranking ordinal; mediana provincial exige n>=4.
salidos_sin_pase_2025__respecto_mediana_nacional,Calidad del dato,salidos sin pase 2025  respecto mediana nacional,Derivación del perfil,varios,categoria,departamento o equivalente,comparacion descriptiva,segun fuente,descriptivo,506,No es ranking ordinal; mediana provincial exige n>=4.
localizaciones_por_1000_poblacion_escolar_2022__mediana_provincial,Oferta,localizaciones por 1000 poblacion escolar 2022  mediana provincial,Derivación del perfil,2022,"conteo, cociente o proporcion",departamento o equivalente,comparacion descriptiva,segun fuente,mayor_no_implica_mejor,524,No es ranking ordinal; mediana provincial exige n>=4.
localizaciones_por_1000_poblacion_escolar_2022__diferencia_mediana_provincial,Oferta,localizaciones por 1000 poblacion escolar 2022  diferencia mediana provincial,Derivación del perfil,2022,"conteo, cociente o proporcion",departamento o equivalente,comparacion descriptiva,segun fuente,mayor_no_implica_mejor,517,No es ranking ordinal; mediana provincial exige n>=4.
localizaciones_por_1000_poblacion_escolar_2022__cuartil_provincial,Oferta,localizaciones por 1000 poblacion escolar 2022  cuartil provincial,Derivación del perfil,2022,"conteo, cociente o proporcion",departamento o equivalente,comparacion descriptiva,segun fuente,mayor_no_implica_mejor,517,No es ranking ordinal; mediana provincial exige n>=4.
localizaciones_por_1000_poblacion_escolar_2022__mediana_nacional,Oferta,localizaciones por 1000 poblacion escolar 2022  mediana nacional,Derivación del perfil,2022,"conteo, cociente o proporcion",departamento o equivalente,comparacion descriptiva,segun fuente,mayor_no_implica_mejor,529,No es ranking ordinal; mediana provincial exige n>=4.
localizaciones_por_1000_poblacion_escolar_2022__respecto_mediana_nacional,Oferta,localizaciones por 1000 poblacion escolar 2022  respecto mediana nacional,Derivación del perfil,2022,"conteo, cociente o proporcion",departamento o equivalente,comparacion descriptiva,segun fuente,mayor_no_implica_mejor,520,No es ranking ordinal; mediana provincial exige n>=4.
lengua_satisfactorio_o_avanzado_2024__mediana_provincial,Aprendizaje,lengua satisfactorio o avanzado 2024  mediana provincial,Derivación del perfil,2024,porcentaje o categoria,departamento o equivalente,comparacion descriptiva,segun fuente,no_interpretable_sin_contexto,524,No es ranking ordinal; mediana provincial exige n>=4.
lengua_satisfactorio_o_avanzado_2024__diferencia_mediana_provincial,Aprendizaje,lengua satisfactorio o avanzado 2024  diferencia mediana provincial,Derivación del perfil,2024,porcentaje o categoria,departamento o equivalente,comparacion descriptiva,segun fuente,no_interpretable_sin_contexto,477,No es ranking ordinal; mediana provincial exige n>=4.
lengua_satisfactorio_o_avanzado_2024__cuartil_provincial,Aprendizaje,lengua satisfactorio o avanzado 2024  cuartil provincial,Derivación del perfil,2024,porcentaje o categoria,departamento o equivalente,comparacion descriptiva,segun fuente,no_interpretable_sin_contexto,477,No es ranking ordinal; mediana provincial exige n>=4.
lengua_satisfactorio_o_avanzado_2024__mediana_nacional,Aprendizaje,lengua satisfactorio o avanzado 2024  mediana nacional,Derivación del perfil,2024,porcentaje o categoria,departamento o equivalente,comparacion descriptiva,segun fuente,no_interpretable_sin_contexto,529,No es ranking ordinal; mediana provincial exige n>=4.
lengua_satisfactorio_o_avanzado_2024__respecto_mediana_nacional,Aprendizaje,lengua satisfactorio o avanzado 2024  respecto mediana nacional,Derivación del perfil,2024,porcentaje o categoria,departamento o equivalente,comparacion descriptiva,segun fuente,no_interpretable_sin_contexto,480,No es ranking ordinal; mediana provincial exige n>=4.
matematica_satisfactorio_o_avanzado_2024__mediana_provincial,Aprendizaje,matematica satisfactorio o avanzado 2024  mediana provincial,Derivación del perfil,2024,porcentaje o categoria,departamento o equivalente,comparacion descriptiva,segun fuente,no_interpretable_sin_contexto,246,No es ranking ordinal; mediana provincial exige n>=4.
matematica_satisfactorio_o_avanzado_2024__diferencia_mediana_provincial,Aprendizaje,matematica satisfactorio o avanzado 2024  diferencia mediana provincial,Derivación del perfil,2024,porcentaje o categoria,departamento o equivalente,comparacion descriptiva,segun fuente,no_interpretable_sin_contexto,112,No es ranking ordinal; mediana provincial exige n>=4.
matematica_satisfactorio_o_avanzado_2024__cuartil_provincial,Aprendizaje,matematica satisfactorio o avanzado 2024  cuartil provincial,Derivación del perfil,2024,porcentaje o categoria,departamento o equivalente,comparacion descriptiva,segun fuente,no_interpretable_sin_contexto,112,No es ranking ordinal; mediana provincial exige n>=4.
matematica_satisfactorio_o_avanzado_2024__mediana_nacional,Aprendizaje,matematica satisfactorio o avanzado 2024  mediana nacional,Derivación del perfil,2024,porcentaje o categoria,departamento o equivalente,comparacion descriptiva,segun fuente,no_interpretable_sin_contexto,529,No es ranking ordinal; mediana provincial exige n>=4.
matematica_satisfactorio_o_avanzado_2024__respecto_mediana_nacional,Aprendizaje,matematica satisfactorio o avanzado 2024  respecto mediana nacional,Derivación del perfil,2024,porcentaje o categoria,departamento o equivalente,comparacion descriptiva,segun fuente,no_interpretable_sin_contexto,145,No es ranking ordinal; mediana provincial exige n>=4.
cobertura_territorio,Calidad del dato,cobertura territorio,Outputs integrados,varios,disponibilidad,departamento o equivalente,metadata,segun fuente,descriptivo,529,"Mide completitud documental, no calidad educativa."
cobertura_oferta,Calidad del dato,cobertura oferta,Outputs integrados,varios,disponibilidad,departamento o equivalente,metadata,segun fuente,descriptivo,529,"Mide completitud documental, no calidad educativa."
cobertura_acceso,Calidad del dato,cobertura acceso,Outputs integrados,varios,disponibilidad,departamento o equivalente,metadata,segun fuente,descriptivo,529,"Mide completitud documental, no calidad educativa."
cobertura_trayectoria,Calidad del dato,cobertura trayectoria,Outputs integrados,varios,disponibilidad,departamento o equivalente,metadata,segun fuente,descriptivo,529,"Mide completitud documental, no calidad educativa."
cobertura_contexto,Calidad del dato,cobertura contexto,Outputs integrados,varios,disponibilidad,departamento o equivalente,metadata,segun fuente,descriptivo,529,"Mide completitud documental, no calidad educativa."
cobertura_aprendizaje_lengua,Calidad del dato,cobertura aprendizaje lengua,Outputs integrados,varios,disponibilidad,departamento o equivalente,metadata,segun fuente,descriptivo,529,"Mide completitud documental, no calidad educativa."
cobertura_aprendizaje_matematica,Calidad del dato,cobertura aprendizaje matematica,Outputs integrados,varios,disponibilidad,departamento o equivalente,metadata,segun fuente,descriptivo,529,"Mide completitud documental, no calidad educativa."
cobertura_serie_historica,Calidad del dato,cobertura serie historica,Outputs integrados,varios,disponibilidad,departamento o equivalente,metadata,segun fuente,descriptivo,529,"Mide completitud documental, no calidad educativa."
dimensiones_disponibles,Calidad del dato,dimensiones disponibles,Outputs integrados,varios,disponibilidad,departamento o equivalente,metadata,segun fuente,descriptivo,529,"Mide completitud documental, no calidad educativa."
calidad_total_del_perfil,Calidad del dato,calidad total del perfil,Outputs integrados,varios,disponibilidad,departamento o equivalente,metadata,segun fuente,descriptivo,529,"Mide completitud documental, no calidad educativa."
bandera_asistencia_15_17_baja_relativa,Señal descriptiva,bandera asistencia 15 17 baja relativa,Reglas del perfil,varios,booleano nullable,departamento o equivalente,bandera,segun fuente,descriptivo,527,No implica causalidad ni valoración integral.
bandera_sobreedad_persistente_alta,Señal descriptiva,bandera sobreedad persistente alta,Reglas del perfil,varios,booleano nullable,departamento o equivalente,bandera,segun fuente,descriptivo,506,No implica causalidad ni valoración integral.
bandera_deterioro_sostenido_trayectoria,Señal descriptiva,bandera deterioro sostenido trayectoria,Reglas del perfil,varios,booleano nullable,departamento o equivalente,bandera,segun fuente,descriptivo,506,No implica causalidad ni valoración integral.
